Track URI,Track Name,Artist Name(s),Album Name,Album Release Date,Popularity,Artist Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:3bN4tg6rnNPy9GCkGhym4T,Message In A Bottle - Remastered 2003,The Police,Reggatta De Blanc (Remastered),1979-10-02,0,"album rock,classic rock,permanent wave,rock",0.577,0.808,1.0,-7.04,0.0,0.039,0.0338,1.33e-05,0.221,0.869,,4.0
spotify:track:2Sy1KFLXBQjxqj6lCeIBCB,Oh My Goodness,Olly Murs,In Case You Didn't Know,2011-11-28,43,"dance pop,pop,talent show",0.638,0.803,8.0,-5.467,0.0,0.0681,0.0244,0.0,0.169,0.756,128.035,4.0
spotify:track:2wSHxrxkBNmxVZaxLT3Wyj,All Your Reasons,Matchbox Twenty,The Matchbox Twenty Collection,2013-11-08,42,"neo mellow,pop rock,post-grunge",0.53,0.816,11.0,-4.384,1.0,0.0713,0.00445,0.0,0.189,0.593,142.17,4.0
spotify:track:3k0DJq2HdWJqnqor8NX0ac,Padam Padam,Kylie Minogue,Padam Padam,2023-05-18,85,"australian dance,australian pop,dance pop,eurodance,new wave pop",0.746,0.622,5.0,-7.923,1.0,0.241,0.201,0.00113,0.104,0.719,128.101,4.0
spotify:track:2ypT0w7jeCwcEQQvNE5o92,The Bad Touch,Bloodhound Gang,Hooray For Boobies,1999,0,"alternative metal,comic,funk metal,funk rock,rap rock",0.827,0.747,0.0,-6.247,0.0,0.0377,0.00355,0.0253,0.101,0.969,122.984,4.0
spotify:track:2m4Pj6wQvhiBITHzjYZpsh,Trains and Boats and Planes,"Billy J. Kramer, The Dakotas",EMI Legends Rock 'n' Roll Seris - The Definitive Collection,1991-09-30,44,"british invasion,merseybeat,merseybeat",0.65,0.579,5.0,-7.45,1.0,0.0322,0.437,8.8e-05,0.146,0.416,111.087,4.0
spotify:track:3iEABTE7uVYkVQA8wCUnVZ,"The Good, the Bad and the Ugly - From ""The Good, the Bad and the Ugly""","Hugo Montenegro & His Orchestra, Hugo Montenegro",All-Time Greatest Movie Themes & Schemes,1999-08-24,37,"easy listening,man's orchestra,easy listening",0.531,0.648,0.0,-10.648,1.0,0.0412,0.649,0.501,0.442,0.589,116.572,4.0
spotify:track:0X6fWeGBZDks4SbLPy7nuB,Judy in Disguise (With Glasses),John Fred and His Playboy Band,One-Hit Wonders! (Original – Recordings),2012-02-21,23,swamp pop,0.638,0.818,8.0,-9.212,1.0,0.132,0.0386,0.159,0.118,0.922,82.289,4.0
spotify:track:7xwWqlV99ckoPiQrubZQnk,Daddy's Home - 2003 Remaster,Cliff Richard,75 at 75,2015-09-18,0,"adult standards,rock-and-roll",0.371,0.37,4.0,-10.169,1.0,0.0526,0.911,0.0,0.229,0.341,166.397,3.0
spotify:track:2T3blUc9Jnui2a0ZhuNOag,Smooth Criminal,Alien Ant Farm,Anthology,2001-01-01,0,"alternative metal,funk metal,nu metal,post-grunge",0.653,0.966,9.0,-4.236,0.0,0.0598,0.00287,0.0026,0.143,0.874,126.921,4.0
spotify:track:2McbI8WrvqqK6Ew5VgllX3,Kiss Me,Sixpence None The Richer,Return of the 90s,2012-11-16,0,"lilith,pop rock",0.523,0.714,3.0,-7.17,1.0,0.0269,0.0264,2.09e-06,0.0568,0.428,100.007,4.0
spotify:track:0LUdGEOj20wBg5M9BHrFTl,GIRL LIKE ME,"Black Eyed Peas, Shakira",GIRL LIKE ME,2020-12-04,54,"dance pop,pop,pop rap,colombian pop,dance pop,latin pop,pop",0.965,0.485,2.0,-8.784,1.0,0.191,0.0206,0.0237,0.0655,0.312,124.025,4.0
spotify:track:7g9nkMae9kLQ8pmUhQoSbX,Dogs Are Talking,The Angels,Beyond Salvation,1990-07-17,38,australian rock,0.511,0.693,2.0,-11.926,1.0,0.0337,0.0119,1.47e-05,0.338,0.906,166.773,4.0
spotify:track:0fcWIzRDyYZXIbAF18VOXa,Paris Is Burning,Ladyhawke,Ladyhawke (Deluxe Edition),2009-04-10,40,"alternative dance,metropopolis,neo-synthpop",0.601,0.881,9.0,-3.592,0.0,0.0532,0.0224,0.0,0.135,0.769,122.958,4.0
spotify:track:3ydM4Jp7vpU4qSR5OJ7Z7x,Light It Up (feat. Static Revenger),"Stan Walker, Static Revenger",Let The Music Play,2011-11-21,26,"australian talent show,nz christian,nz pop,melbourne bounce",0.678,0.659,5.0,-5.465,0.0,0.0355,0.0179,0.0,0.2,0.716,127.061,4.0
spotify:track:32lItqlMi4LBhb4k0BaSaC,Candy Paint,Post Malone,beerbongs & bentleys,2018-04-27,80,"dfw rap,melodic rap,pop,rap",0.664,0.667,4.0,-5.941,1.0,0.154,0.64,1.22e-06,0.0753,0.381,180.064,4.0
spotify:track:4zK1pYVKMB13es6Bim0muF,Run To Me,Bee Gees,To Whom It May Concern,1972-01-01,60,"disco,mellow gold,soft rock",0.399,0.322,9.0,-14.021,1.0,0.037,0.474,1.48e-05,0.335,0.33,145.743,4.0
spotify:track:6oXa5pLk2L2ZfmeUPHxP35,Say You Will - 2008 Remaster,Foreigner,No End in Sight: The Very Best of Foreigner,2008-07-08,31,"album rock,classic rock,glam metal,hard rock,heartland rock,mellow gold,rock,soft rock",0.693,0.816,3.0,-4.488,0.0,0.027,0.195,0.0,0.0406,0.589,126.068,4.0
spotify:track:4cAXvxzp3q7NIg0gFXjjvi,Style,Taylor Swift,1989,2014-10-27,0,pop,0.598,0.786,2.0,-5.572,1.0,0.0382,0.00256,0.00143,0.117,0.456,95.021,4.0
spotify:track:5XUepCFbKSBbY2EALIEnyb,Sword from the Stone - Gingerbread Mix,Passenger,Sword from the Stone,2021-01-15,40,"folk-pop,neo mellow",0.562,0.704,3.0,-5.741,1.0,0.0349,,6.86e-06,0.173,0.367,82.532,4.0
spotify:track:0BBLIc1LYjA5yNsD1t6Fp5,Time of Our Lives - Radio Edit,"Pitbull, Ne-Yo",Feel Good Friday,2018-11-23,49,"dance pop,miami hip hop,pop,dance pop,pop,r&b,urban contemporary",0.714,0.706,1.0,-9.144,1.0,0.0727,0.0946,0.0,0.7,0.812,124.036,4.0
spotify:track:2073QOEC8rBtSyTsRyaWiP,I Can Change,LCD Soundsystem,This Is Happening,2010-05-17,61,"alternative dance,alternative rock,art pop,dance rock,dance-punk,electronic rock,electronica,indie rock,indietronica,neo-synthpop,new rave",0.644,0.73,1.0,-6.565,1.0,0.0287,0.00215,0.00178,0.233,0.695,116.981,4.0
spotify:track:4NTWZqvfQTlOMitlVn6tew,The Show Goes On,Lupe Fiasco,Lasers,2011-03-04,74,"chicago rap,conscious hip hop,hip hop,political hip hop,pop rap,rap,southern hip hop",0.591,0.889,7.0,-3.839,1.0,0.115,0.0189,0.0,0.155,0.65,,4.0
spotify:track:7KWoeBqSdZHEloYKVxssfG,In the Ghetto,Elvis Presley,From Elvis in Memphis,1969-06-17,70,"rock-and-roll,rockabilly",0.404,0.266,10.0,-16.688,1.0,0.0334,0.716,0.133,0.107,0.491,88.916,4.0
spotify:track:5X6HkkTe8mUwkHo3Lccr6E,Shine a Little Love,Electric Light Orchestra,Discovery,1979-05-31,52,"album rock,art rock,beatlesque,classic rock,glam rock,mellow gold,rock,soft rock,symphonic rock",0.687,0.695,7.0,-8.95,1.0,0.032,0.217,0.00806,0.0569,0.884,,4.0
spotify:track:5IVuqXILoxVWvWEPm82Jxr,Crazy In Love (feat. Jay-Z),"Beyoncé, JAY-Z",Dangerously In Love,2003-06-24,82,"pop,r&b,east coast hip hop,gangster rap,hip hop,pop rap,rap",0.646,0.77,2.0,-6.596,0.0,0.226,0.00249,0.0,0.0715,0.681,99.165,4.0
spotify:track:29q1zXU2JcoBSV9lNIkgnw,Strong - High Contrast Remix,"London Grammar, High Contrast",Strong,2013-01-01,40,"metropopolis,nottingham indie,drum and bass,uk dance,uk dnb",0.405,0.938,10.0,-3.259,1.0,0.0382,0.00271,0.113,0.118,0.18,173.001,4.0
spotify:track:7aftSOGSOpSoIlVAQVBb71,Break Up In A Small Town,Sam Hunt,Montevallo,2014-10-27,72,"contemporary country,country,country pop",0.579,0.776,8.0,-5.365,1.0,0.173,0.0749,0.0,0.239,0.434,136.044,4.0
